index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
6292;Beef, raw, separable lean and fat, bolar blade, imported, New Zealand;100;159;8.2;21.29;0.00;0.00;Beef; separable lean and fat, bolar blade, imported, New Zealand; raw;Beef raw
6293;Pork, unheated, canned, extra lean (approximately 4% fat), ham, cured;100;120;4.6;18.49;0.00;0.00;Pork; canned, extra lean (approximately 4% fat), ham, cured; unheated;Pork unheated
6294;Beef, braised, cooked, choice, separable lean and fat, shortribs, rib;100;471;42;21.57;0.00;0.00;Beef; cooked, choice, separable lean and fat, shortribs, rib; braised;Beef braised
6295;Pork, braised, cooked, pancreas, variety meats and by-products, fresh;100;219;11;28.50;0.00;0;Pork; cooked, pancreas, variety meats and by-products, fresh; braised;Pork braised
6296;Cereals ready-to-eat, Cinnamon Almond, KELLOGG'S RAISIN BRAN, KELLOGG;100;347;2.9;7.40;81.19;31.29;Cereals ready-to-eat; KELLOGG'S RAISIN BRAN, KELLOGG; Cinnamon Almond;Cereals ready-to-eat Cinnamon Almond
6297;Beef, raw, separable lean only, chuck eye roll, imported, New Zealand;100;131;5.4;20.46;0.00;0.00;Beef; separable lean only, chuck eye roll, imported, New Zealand; raw;Beef raw
6298;Grape juice, with added ascorbic acid, unsweetened, canned or bottled;100;60;0.1;0.37;14.77;14.20;Grape juice; unsweetened, canned or bottled; with added ascorbic acid;Grape juice with added ascorbic acid
6299;Infant formula, prepared from powder,NEXT STEP PROSOBEE, MEAD JOHNSON;100;67;2.9;2.14;8.08;7.77;Infant formula;NEXT STEP PROSOBEE, MEAD JOHNSON; prepared from powder;Infant formula prepared from powder
6300;Mustard spinach, without salt, drained, boiled, cooked, (tendergreen);100;16;0.2;1.70;2.80;0;Mustard spinach; drained, boiled, cooked, (tendergreen); without salt;Mustard spinach without salt
6301;Beef, raw, mechanically separated beef, variety meats and by-products;100;276;24;14.97;0.00;0;Beef; mechanically separated beef, variety meats and by-products; raw;Beef raw
6302;CAMPBELL'S CHUNKY Soups, Salisbury Steak with Mushrooms & Onions Soup;100;57;1.8;2.86;7.76;2.45;CAMPBELL'S CHUNKY Soups;; Salisbury Steak with Mushrooms & Onions Soup;CAMPBELL'S CHUNKY Soups Salisbury Steak with Mushrooms & Onions Soup
6303;Lamb, raw, separable lean only, boneless, flap, imported, New Zealand;100;180;10;21.72;0.00;0.00;Lamb; separable lean only, boneless, flap, imported, New Zealand; raw;Lamb raw
6304;Fast Foods, skin and breading removed, meat only, Wing, Fried Chicken;100;215;10;28.77;2.13;0.00;Fast Foods; meat only, Wing, Fried Chicken; skin and breading removed;Fast Foods skin and breading removed
6305;Lamb, raw, separable lean and fat, loin saddle, imported, New Zealand;100;273;23;16.56;0.20;0.00;Lamb; separable lean and fat, loin saddle, imported, New Zealand; raw;Lamb raw
6306;"Game meat, broiled, cooked, 1"" steak, separable lean only, loin, deer";100;150;2.4;30.20;0.00;0.00;Game meat;" cooked, 1"" steak, separable lean only, loin, deer"; broiled;Game meat broiled
6307;Cherries, solids and liquids, heavy syrup pack, pitted, canned, sweet;100;83;0.2;0.60;21.27;16.18;Cherries; heavy syrup pack, pitted, canned, sweet; solids and liquids;Cherries solids and liquids
6308;Puddings, dry mix, regular, low calorie, all flavors except chocolate;100;351;0.1;1.60;86.04;2.90;Puddings; regular, low calorie, all flavors except chocolate; dry mix;Puddings dry mix
6309;Cereals, with salt, cooked with water, whole wheat hot natural cereal;100;62;0.4;2.00;13.70;0.08;Cereals; cooked with water, whole wheat hot natural cereal; with salt;Cereals with salt
6310;KFC, meat and skin with breading, Breast, EXTRA CRISPY, Fried Chicken;100;268;17;21.24;8.47;0;KFC; Breast, EXTRA CRISPY, Fried Chicken; meat and skin with breading;KFC meat and skin with breading
6311;Lamb, raw, separable lean only, boneless, loin, imported, New Zealand;100;120;3.8;21.50;0.00;0.00;Lamb; separable lean only, boneless, loin, imported, New Zealand; raw;Lamb raw
6312;Turkey, raw, with added solution, meat and skin, breast, retail parts;100;144;6.8;20.79;0.03;0.01;Turkey; with added solution, meat and skin, breast, retail parts; raw;Turkey raw
6313;Turkey, raw, with added solution, meat and skin, dark meat from whole;100;169;11;17.84;0.15;0.10;Turkey; with added solution, meat and skin, dark meat from whole; raw;Turkey raw
6314;"Game meat, raw, trimmed to 0"" fat, separable lean only, ribeye, bison";100;116;2.4;22.10;0.00;0;Game meat;" trimmed to 0"" fat, separable lean only, ribeye, bison"; raw;Game meat raw
6315;Cake, unenriched, other than all butter, commercially prepared, pound;100;389;18;5.20;52.50;0;Cake; other than all butter, commercially prepared, pound; unenriched;Cake unenriched
6316;Chicken, stewed, cooked, and giblets and neck, meat and skin, stewing;100;214;12;24.88;0.00;0.00;Chicken; cooked, and giblets and neck, meat and skin, stewing; stewed;Chicken stewed
6317;Fish, solids with bone and liquid, without salt, canned, pink, salmon;100;139;6.1;19.78;0.00;0;Fish; without salt, canned, pink, salmon; solids with bone and liquid;Fish solids with bone and liquid
6318;Fish, drained solids with bone, without salt, canned, sockeye, salmon;100;153;7.3;20.47;0.00;0;Fish; without salt, canned, sockeye, salmon; drained solids with bone;Fish drained solids with bone
6319;Oil, filling fat (non-hydrogenated), palm and palm kernel, industrial;100;880;100;0.00;0.00;0.00;Oil; palm and palm kernel, industrial; filling fat (non-hydrogenated);Oil filling fat (non-hydrogenated)
6320;KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product;100;148;1;22.70;11.70;6.70;KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product;;;KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product
6321;PREGO Pasta, ready-to-serve, Italian Sausage and Garlic Italian Sauce;100;72;2.4;2.40;10.40;8.00;PREGO Pasta; Italian Sausage and Garlic Italian Sauce; ready-to-serve;PREGO Pasta ready-to-serve
6322;Cereals, salt, prepared with water, QUAKER MultiGrain Oatmeal, QUAKER;100;61;0.5;2.07;13.47;0;Cereals; prepared with water, QUAKER MultiGrain Oatmeal, QUAKER; salt;Cereals salt
6323;AUSTIN, reduced fat, sandwich-type, Cheddar Cheese on Cheese Crackers;100;461;18;7.80;68.00;14.60;AUSTIN; sandwich-type, Cheddar Cheese on Cheese Crackers; reduced fat;AUSTIN reduced fat
6324;Beverages, prepared with water, frozen concentrate, Fruit punch drink;100;46;0;0.06;11.66;0.00;Beverages; frozen concentrate, Fruit punch drink; prepared with water;Beverages prepared with water
6325;Sauce, refrigerated, ready-to-serve, pesto with basil, BUITONI, pesto;100;418;38;9.83;10.09;6.33;Sauce; ready-to-serve, pesto with basil, BUITONI, pesto; refrigerated;Sauce refrigerated
6326;Cereals ready-to-eat, KRETSCHMER Honey Crunch Wheat Germ, SUN COUNTRY;100;372;7.8;26.55;58.11;21.43;Cereals ready-to-eat; SUN COUNTRY; KRETSCHMER Honey Crunch Wheat Germ;Cereals ready-to-eat KRETSCHMER Honey Crunch Wheat Germ
6327;PILLSBURY, refrigerated dough, Artificial Flavor, Buttermilk Biscuits;100;236;2.8;6.40;47.07;4.46;PILLSBURY; Artificial Flavor, Buttermilk Biscuits; refrigerated dough;PILLSBURY refrigerated dough
